Date,Close/Last,Volume,Open,High,Low
10/15/2021,$169.18,3592734,$171.9,$172.95,$168.58
10/14/2021,$170.5,4145257,$175.24,$176.75,$170.04
10/13/2021,$173.58,3523610,$173,$175.19,$171.8
10/12/2021,$172.75,6028098,$172.694,$175.9,$171.23
10/11/2021,$166.67,2046310,$170,$171.5402,$166.63
10/08/2021,$169.97,2265114,$170.1,$174.0999,$169.48
10/07/2021,$169.6,2119612,$170,$171.27,$168.6
10/06/2021,$167.25,2461482,$161.39,$167.32,$160.63
10/05/2021,$164.74,4340100,$165.67,$166.59,$162.43
10/04/2021,$164.5,4459382,$171.99,$172.26,$164.03
10/01/2021,$173.01,4963044,$170.31,$173.2,$168.55
09/30/2021,$167.75,2663690,$168.1,$169.5,$165.71
09/29/2021,$168.07,2788740,$170.1,$171.2207,$166.5504
09/28/2021,$168.58,4362803,$172.516,$173.56,$166.9
09/27/2021,$174.26,3551430,$175,$176.319,$172.02
09/24/2021,$175.88,4084868,$174.53,$176.96,$173.61
09/23/2021,$175.13,5370786,$171.55,$176,$170.5001
09/22/2021,$169.96,4353595,$170.0293,$171.81,$167.3713
09/21/2021,$169.29,8592501,$164,$170.01,$162.96
09/20/2021,$161.64,6846832,$162.24,$166.54,$159.445
09/17/2021,$166.59,20024680,$169.3,$170,$163.61
09/16/2021,$168.15,6094825,$165.26,$169.45,$165.04
09/15/2021,$166.37,5656017,$162.32,$166.63,$160.49
09/14/2021,$163.3,4655503,$160.66,$164.7,$159.41
09/13/2021,$160.32,7520949,$160.25,$162.99,$154.79
09/10/2021,$165.2,3985251,$166.95,$168.2356,$165.01
09/09/2021,$166,5935754,$163,$166.97,$160.83
09/08/2021,$163.93,5866501,$163.23,$166.55,$161.6
09/07/2021,$165,11017030,$159.72,$165.735,$159.55
09/03/2021,$158,4460935,$158.05,$160.64,$157.2
09/02/2021,$157.2,3302257,$156.5,$159.4601,$156.5
09/01/2021,$156.59,4324746,$154.84,$158.64,$154.29
08/31/2021,$154.99,7403951,$155.94,$158.15,$153.58
08/30/2021,$156.02,3968745,$154.41,$157.49,$151.92
08/27/2021,$154.18,4818820,$152.251,$156.44,$151.45
08/26/2021,$152.73,7242951,$159.34,$159.4999,$151.45
08/25/2021,$160.35,7267704,$158.764,$163.0587,$158
08/24/2021,$161.42,22096780,$147,$161.98,$146.5
08/23/2021,$146.79,4727431,$144.9,$147.6299,$144.15
08/20/2021,$143.7,2996182,$142,$143.949,$141.5
08/19/2021,$142.65,4732393,$143.791,$145.28,$141.92
