Date,Close/Last,Volume,Open,High,Low
09/03/2021,$135.1004,1924215,$135.1972,$135.9619,$134.8294
09/02/2021,$135.5166,2715659,$135.236,$135.5554,$134.5681
09/01/2021,$134.8294,2474544,$135.4876,$135.5746,$134.723
08/31/2021,$135.8361,4235101,$135.0617,$136.4168,$134.4907
08/30/2021,$134.51,1995526,$135.023,$135.3908,$134.36
08/27/2021,$134.9359,2459643,$134.2584,$135.1053,$133.9583
08/26/2021,$134.3261,2498915,$135.4779,$136.2813,$134.2584
08/25/2021,$135.3715,2012817,$135.4295,$136.2813,$134.9843
08/24/2021,$135.3521,2365638,$135.294,$135.7296,$134.8488
08/23/2021,$135.1392,3039587,$135.1392,$135.6522,$134.3455
08/20/2021,$134.6455,2657763,$133.3195,$134.9069,$132.8646
08/19/2021,$133.5905,4160129,$134.239,$134.9746,$132.8065
08/18/2021,$134.994,3510694,$137.1234,$137.3605,$134.9165
08/17/2021,$137.8493,3074078,$138.4107,$138.5656,$136.562
08/16/2021,$138.9818,2786343,$138.6333,$139.1269,$137.6654
08/13/2021,$138.5849,1910443,$138.0622,$138.9721,$137.8687
08/12/2021,$138.4784,2089418,$137.6944,$138.5559,$137.5169
08/11/2021,$137.5686,4259952,$137.2298,$138.1866,$136.9588
08/10/2021,$136.8427,5299869,$136.6781,$137.2598,$135.8361
08/09/2021,$136.7168,4904065,$137.6364,$137.9219,$136.4458
08/06/2021,$139.4657,3826835,$138.4107,$139.7561,$138.3042
08/05/2021,$138.1881,2757389,$138.4397,$138.8075,$137.6557
08/04/2021,$138.1784,2830079,$139.185,$139.5528,$137.8977
08/03/2021,$139.4463,4084724,$137.346,$140.0561,$137.104
08/02/2021,$136.8814,2929540,$136.9104,$138.4688,$136.5039
07/30/2021,$136.4362,3535555,$136.9782,$137.2976,$136.2716
07/29/2021,$137.375,2670873,$137.7622,$138.372,$137.0556
07/28/2021,$137.2202,2544099,$138.4204,$138.5075,$137.0943
07/27/2021,$138.1687,3137027,$137.9558,$139.0301,$137.0556
07/26/2021,$138.1881,4246266,$136.8524,$138.4107,$136.6007
07/23/2021,$136.804,4474157,$136.4362,$137.1524,$135.8264
07/22/2021,$136.1942,3314153,$137.1137,$137.2589,$135.9038
07/21/2021,$136.7652,4803977,$135.4779,$136.8524,$135.1682
07/20/2021,$135.4779,13611680,$138.4107,$140.2691,$134.2487
07/19/2021,$133.4937,8582302,$132.0709,$134.0454,$131.8375
07/16/2021,$134.4423,4109308,$136.4749,$136.4749,$134.1422
07/15/2021,$135.9425,3639698,$134.8488,$135.9522,$134.346
07/14/2021,$135.3327,4403752,$136.2039,$136.2329,$134.4687
07/13/2021,$135.778,3164294,$136.3974,$136.3974,$135.1488
07/12/2021,$136.3974,3342627,$136.8911,$137.404,$135.6183
07/09/2021,$136.9782,3904059,$136.9104,$137.4234,$136.321
07/08/2021,$136.2232,5487425,$133.3582,$136.7749,$133.2421
07/07/2021,$135.3327,4059667,$134.3068,$135.8264,$134.3068
07/06/2021,$134.3261,8093747,$135.4973,$135.9135,$132.7
07/02/2021,$135.5263,16828160,$142.1952,$142.2339,$134.9843
